
-2046, 22, -2046, 13
-2025, 31, -2025, 15
-2004, 30, -2004, 17
-1983, 31, -1983, 20
-1962, 18, -1962, 23
-1942, 41, -1942, 26
-1921, 32, -1921, 30
-1900, 44, -1900, 35
-1879, 53, -1879, 40
-1859, 55, -1859, 45
-1838, 56, -1838, 51
-1817, 67, -1817, 59
-1796, 66, -1796, 67
-1776, 72, -1776, 76
-1755, 107, -1755, 86
-1734, 116, -1734, 97
-1713, 160, -1713, 110
-1692, 137, -1692, 124
-1672, 170, -1672, 139
-1651, 164, -1651, 157
-1630, 189, -1630, 176
-1609, 207, -1609, 197
-1589, 251, -1589, 221
-1568, 276, -1568, 247
-1547, 267, -1547, 275
-1526, 322, -1526, 307
-1505, 363, -1505, 342
-1485, 427, -1485, 380
-1464, 474, -1464, 421
-1443, 497, -1443, 467
-1422, 527, -1422, 516
-1402, 616, -1402, 570
-1381, 647, -1381, 629
-1360, 774, -1360, 693
-1339, 798, -1339, 762
-1319, 881, -1319, 837
-1298, 959, -1298, 918
-1277, 1096, -1277, 1005
-1256, 1205, -1256, 1099
-1235, 1218, -1235, 1200
-1215, 1407, -1215, 1309
-1194, 1484, -1194, 1424
-1173, 1683, -1173, 1548
-1152, 1727, -1152, 1681
-1132, 1943, -1132, 1821
-1111, 2080, -1111, 1971
-1090, 2194, -1090, 2130
-1069, 2465, -1069, 2299
-1049, 2588, -1049, 2476
-1028, 2821, -1028, 2664
-1007, 2970, -1007, 2863
-986, 3186, -986, 3071
-965, 3167, -965, 3289
-945, 3647, -945, 3519
-924, 4057, -924, 3758
-903, 4127, -903, 4007
-882, 4270, -882, 4268
-862, 4818, -862, 4539
-841, 5110, -841, 4820
-820, 5400, -820, 5109
-799, 5701, -799, 5410
-778, 5745, -778, 5720
-758, 6222, -758, 6037
-737, 6610, -737, 6364
-716, 6890, -716, 6698
-695, 6979, -695, 7041
-675, 7617, -675, 7388
-654, 7865, -654, 7742
-633, 8422, -633, 8102
-612, 8660, -612, 8464
-592, 8685, -592, 8832
-571, 9399, -571, 9201
-550, 9790, -550, 9573
-529, 10102, -529, 9943
-508, 9979, -508, 10313
-488, 11050, -488, 10683
-467, 11376, -467, 11047
-446, 11828, -446, 11409
-425, 11601, -425, 11765
-405, 12181, -405, 12115
-384, 12761, -384, 12455
-363, 12976, -363, 12788
-342, 13199, -342, 13111
-322, 13112, -322, 13420
-301, 13964, -301, 13718
-280, 14169, -280, 14003
-259, 14408, -259, 14272
-238, 13954, -238, 14524
-218, 14993, -218, 14760
-197, 15303, -197, 14977
-176, 15635, -176, 15175
-155, 14819, -155, 15354
-135, 15565, -135, 15513
-114, 15648, -114, 15649
-93, 15934, -93, 15764
-72, 15985, -72, 15857
-51, 15355, -51, 15926
-31, 16282, -31, 15973
-10, 16148, -10, 15996
10, 15905, 10, 15996
31, 15294, 31, 15973
51, 16099, 51, 15926
72, 15883, 72, 15857
93, 15878, 93, 15764
114, 15662, 114, 15649
135, 14670, 135, 15513
155, 15481, 155, 15354
176, 15265, 176, 15175
197, 15105, 197, 14977
218, 14074, 218, 14760
238, 14506, 238, 14524
259, 14271, 259, 14272
280, 14134, 280, 14003
301, 13156, 301, 13718
322, 13379, 322, 13420
342, 13104, 342, 13111
363, 12715, 363, 12788
384, 12424, 384, 12455
405, 11302, 405, 12115
425, 11717, 425, 11765
446, 11267, 446, 11409
467, 11061, 467, 11047
488, 9977, 488, 10683
508, 10190, 508, 10313
529, 9988, 529, 9943
550, 9380, 550, 9573
571, 8657, 571, 9201
592, 8876, 592, 8832
612, 8357, 612, 8464
633, 8155, 633, 8102
654, 7610, 654, 7742
675, 7033, 675, 7388
695, 6962, 695, 7041
716, 6682, 716, 6698
737, 6299, 737, 6364
758, 5822, 758, 6037
778, 5718, 778, 5720
799, 5291, 799, 5410
820, 5112, 820, 5109
841, 4921, 841, 4820
862, 4306, 862, 4539
882, 4218, 882, 4268
903, 3920, 903, 4007
924, 3789, 924, 3758
945, 3342, 945, 3519
965, 3286, 965, 3289
986, 2983, 986, 3071
1007, 2858, 1007, 2863
1028, 2495, 1028, 2664
1049, 2420, 1049, 2476
1069, 2302, 1069, 2299
1090, 2098, 1090, 2130
1111, 1994, 1111, 1971
1132, 1731, 1132, 1821
1152, 1671, 1152, 1681
1173, 1481, 1173, 1548
1194, 1390, 1194, 1424
1215, 1253, 1215, 1309
1235, 1154, 1235, 1200
1256, 1069, 1256, 1099
1277, 987, 1277, 1005
1298, 866, 1298, 918
1319, 845, 1319, 837
1339, 725, 1339, 762
1360, 676, 1360, 693
1381, 643, 1381, 629
1402, 514, 1402, 570
1422, 495, 1422, 516
1443, 452, 1443, 467
1464, 416, 1464, 421
1485, 365, 1485, 380
1505, 334, 1505, 342
1526, 307, 1526, 307
1547, 244, 1547, 275
1568, 213, 1568, 247
1589, 219, 1589, 221
1609, 204, 1609, 197
1630, 161, 1630, 176
1651, 145, 1651, 157
1672, 128, 1672, 139
1692, 129, 1692, 124
1713, 116, 1713, 110
1734, 104, 1734, 97
1755, 72, 1755, 86
1776, 79, 1776, 76
1796, 59, 1796, 67
1817, 63, 1817, 59
1838, 47, 1838, 51
1859, 43, 1859, 45
1879, 40, 1879, 40
1900, 39, 1900, 35
1921, 30, 1921, 30
1942, 35, 1942, 26
1962, 40, 1962, 23
1983, 20, 1983, 20
2004, 23, 2004, 17
2025, 34, 2025, 15
